1, 9999, 0.7935, 0.3426, 0.36226, 0.148362
2, 19998, 1.3586, 0.419, 0.40312, 0.19003
3, 29997, 2.2633, 0.8126, 0.459822, 0.213917
4, 39996, 2.4787, 0.8767, 0.522938, 0.265678
5, 49995, 2.2183, 1.2873, 0.454156, 0.217623
6, 59994, 2.9707, 1.3574, 0.438663, 0.242746
7, 69993, 3.2523, 2.204, 0.463091, 0.238637
8, 79992, 2.1963, 1.4647, 0.437073, 0.192433
9, 89991, 2.4868, 1.555, 0.446916, 0.212539
10, 99990, 1.8484, 1.1373, 0.45888, 0.213117
11, 109989, 2.0177, 1.3366, 0.456204, 0.21023
12, 119988, 4.2632, 2.5578, 0.443676, 0.195568
13, 129987, 3.6688, 2.4666, 0.493411, 0.25554
14, 139986, 3.0787, 1.9889, 0.511206, 0.271917
15, 149985, 3.2703, 2.4045, 0.488696, 0.216502
16, 159984, 2.8845, 2.1091, 0.497506, 0.254874
17, 169983, 3.1611, 2.3966, 0.470347, 0.222458
18, 179982, 3.0228, 2.3395, 0.483093, 0.22316
19, 189981, 2.7874, 1.8804, 0.507502, 0.243126
20, 199980, 3.2652, 2.0639, 0.516784, 0.285266
21, 209979, 2.9414, 1.9629, 0.474948, 0.199787
22, 219978, 2.7681, 1.9036, 0.562876, 0.282458
23, 229977, 2.5238, 1.7692, 0.463367, 0.198114
24, 239976, 2.2702, 1.5028, 0.4645, 0.206334
25, 249975, 3.1771, 2.2823, 0.454464, 0.187372
26, 259974, 2.9508, 2.1921, 0.500714, 0.19941
27, 269973, 3.3855, 2.8194, 0.470474, 0.211251
28, 279972, 2.8836, 2.2644, 0.477171, 0.21968
29, 289971, 3.3532, 2.6321, 0.467573, 0.188031
30, 299970, 3.1139, 2.4346, 0.551843, 0.28465
31, 309969, 2.9285, 2.127, 0.465055, 0.183387
32, 319968, 2.8152, 2.1621, 0.460071, 0.191836
33, 329967, 3.0477, 2.3323, 0.481941, 0.20699
34, 339966, 3.8421, 2.8035, 0.472409, 0.223642
35, 349965, 4.3032, 3.134, 0.502786, 0.212927
36, 359964, 3.1309, 2.1743, 0.524884, 0.219699
37, 369963, 3.3011, 2.626, 0.478496, 0.19734
38, 379962, 3.12, 2.5308, 0.473744, 0.196233
39, 389961, 3.0108, 2.508, 0.449935, 0.191461
40, 399960, 3.5408, 2.8484, 0.461141, 0.196214
41, 409959, 4.0116, 2.8073, 0.471446, 0.211177
42, 419958, 3.3924, 2.6628, 0.487003, 0.205487
43, 429957, 5.0546, 4.2431, 0.489606, 0.204151
44, 439956, 3.5447, 2.8063, 0.52821, 0.22904
45, 449955, 3.6419, 2.5909, 0.512465, 0.225529
46, 459954, 3.23, 2.674, 0.498177, 0.221645
47, 469953, 2.8033, 2.3096, 0.507207, 0.229457
48, 479952, 2.7824, 2.0949, 0.499789, 0.212794
49, 489951, 2.9047, 2.2742, 0.516006, 0.223774
50, 499950, 3.8762, 2.8556, 0.536791, 0.246431
51, 509949, 3.736, 3.606, 0.577098, 0.281948
52, 519948, 3.4355, 2.8505, 0.543052, 0.267184
53, 529947, 3.3103, 2.6289, 0.524404, 0.260917
54, 539946, 2.9485, 2.4035, 0.567412, 0.280454
55, 549945, 3.19, 2.3104, 0.502511, 0.205468
56, 559944, 3.6259, 2.4446, 0.586062, 0.273826
57, 569943, 3.7541, 2.9608, 0.559634, 0.258423
58, 579942, 3.7612, 3.1129, 0.56653, 0.296202
59, 589941, 3.6529, 2.8023, 0.627446, 0.415139
60, 599940, 6.2338, 3.8795, 0.811102, 0.497774
61, 609939, 4.245, 2.9094, 0.908245, 0.522593
62, 619938, 3.7702, 2.9074, 0.782885, 0.46823
63, 629937, 5.846, 3.9764, 0.697193, 0.492495
64, 639936, 4.9551, 3.3996, 0.686794, 0.415735
65, 649935, 4.5947, 3.4075, 0.584115, 0.26378
66, 659934, 4.1738, 3.2131, 0.628869, 0.314467
67, 669933, 4.2071, 3.3141, 0.636366, 0.362869
68, 679932, 3.8655, 2.8293, 0.630573, 0.34974
69, 689931, 4.2491, 3.4016, 0.652959, 0.385475
70, 699930, 4.1207, 2.608, 0.849655, 0.479427
71, 709929, 4.4747, 3.666, 0.662742, 0.377906
72, 719928, 3.8034, 2.9978, 0.570224, 0.285676
73, 729927, 4.5827, 2.9827, 0.742502, 0.429901
74, 739926, 4.7962, 3.6148, 0.60683, 0.320959
75, 749925, 5.306, 3.9405, 0.659434, 0.334669
76, 759924, 3.8044, 2.8202, 0.615693, 0.316785
77, 769923, 5.3491, 3.9516, 0.676722, 0.419768
78, 779922, 7.0805, 4.7591, 0.713504, 0.593084
79, 789921, 5.7721, 3.5226, 1.07464, 0.656612
80, 799920, 5.9364, 3.9906, 0.996488, 0.845582
81, 809919, 4.4444, 3.238, 0.6125, 0.315612
82, 819918, 3.7532, 2.9149, 0.652764, 0.363391
83, 829917, 4.3522, 3.5077, 0.6047, 0.351702
84, 839916, 4.4322, 3.8854, 0.584445, 0.298933
85, 849915, 3.53, 2.632, 0.576962, 0.296712
86, 859914, 4.3123, 3.3883, 0.59892, 0.337566
87, 869913, 4.7049, 3.8525, 0.710931, 0.552157
88, 879912, 3.9186, 3.091, 0.861744, 0.531903
89, 889911, 4.1649, 2.8824, 0.7089, 0.430454
90, 899910, 4.4655, 3.578, 0.757442, 0.503448
91, 909909, 4.4618, 2.3734, 0.880773, 0.666046
92, 919908, 3.6219, 2.57, 0.834767, 0.55651
93, 929907, 3.7863, 2.9525, 0.819215, 0.572926
